,calificaciones,fechas,reseñas,autor
571,5 de 5. Excelente,16 de may de 2019,Love the whole experience! Everything was great!,Chee Wai
572,5 de 5. Excelente,14 de may de 2019,"The hotel has a very elegant and rich setting, staff are friendly and helpful and price is reasonable.",Cliente verificado
573,5 de 5. Excelente,14 de may de 2019,チェックイン時から笑顔で丁寧な対応でまずはウェルカムドリンクとしてシャンパンを頂き、部屋もアップグレードして頂きました。ソカロが綺麗に見える102号室で部屋も広々としており、古さを全く感じさせない素敵なお部屋でした。ソカロに面しているものの、騒々しさはなく、ホテル内もとても静かで大人のホテルという印象を持ちました。 ロビーも美しく、天井のステンドグラスは優雅さも醸し出して、素敵な空間となっています。ドアにはベルボーイも待機しており、宿泊客以外は入りにくい雰囲気となっているので、落ち着いていて良かったです。周辺はお店もレストランもコンビニもあり、とても快適ですし、観光にもとても便利です。徒歩圏内沢山の見どころがあり、街歩きの楽しいホテルでした。またメキシコシティーを訪れる際は、必ずホテルに泊まろうと思いました。,Cliente verificado
574,5 de 5. Excelente,12 de may de 2019,It’s beautiful However I think that a chair lift would help with help people with disabilities get up the stairs,Cliente verificado
575,5 de 5. Excelente,12 de may de 2019,"Just spent a week at the Gran Hotel in a room facing the Zocalo, and thought it was fantastic. There are the obvious benefits of an A+ location and beautiful historic building. When you first arrive, the bellman will take you up in one of the vintage elevators and tell you about the hotel's history. (There's a set of modern elevators for regular use.) I was especially impressed with the welcoming and helpful staff. As someone who doesn't speak Spanish, I was grateful for a front desk staff who were fluent in English. My room was large and comfortable, and had blackout curtains that kept most light out. A nice touch was plenty of free bottled water and apples on the table right outside my door. A few notes: -There's a flight of stairs up from the street to the lobby. A doorman helps with bags. -The windows are double-pane and effective, but don't block all noise. And there's always something happening in the square. Protests, marches, performances, etc. Also, the twice-daily ceremony of soldiers marching out with music to raise the flag at 8 and lower it at 6. During the day, buskers perform below the rooms facing the side street. Taking it all in added to my experience. But if you need absolute silence, this isn't it. -The general location isn't ideal for Ubering to other parts of the city. Rides are cheap -- usually $4 to $6 to Polanco or Roma. But getting in and out of the narrow, one-way streets of the Centro can add a fair bit of time to the journey.",Christian
576,5 de 5. Excelente,8 de may de 2019,It was brilliant !! The staff really go out of their way to help u out and this wonderful hotel has an unparalleled old world charm.,karan
577,5 de 5. Excelente,6 de may de 2019,Sin reseña,Cliente verificado
578,5 de 5. Excelente,5 de may de 2019,Where should i start. The hotel's history alone holds its own weight. First elevator ever installed in Mexico! The panoramic glass cathedral ceiling which easily resembles anything in Europe is a masterpiece. I'm a New Yorker who recently moved to Socal. I've also lived in Europe on & off. This hotel can rival any place I've been to. Most importantly the staff. I had issues that they did not hesitate to fix at all. No questions asked. Highly recommended to any American or European tourists looking for a great hotel. PS The Terrace restaurant has the best views i. Tje city,Cliente verificado
579,5 de 5. Excelente,5 de may de 2019,"The hotel is unique and Beautiful. The stuff is amazing! Gabriela, Cynthia, Jose Luis, Enrique, Victor and all the stuff made our vacation unforgettable one! The room was amazing, the meals on the terrace are very good. If you are sensitive to noise, it’s not the best place for you, since the Gran Hotel is located on the Zocalo Central, and all day you here the street, music, drums etc. But for us it was great.",Cliente verificado
580,5 de 5. Excelente,17 de may de 2019,"This is truly a ""gran"" hotel in the heart of Mexico City. The hotel is beautiful and the staff is exceptional. The room (we had a king suite) was worth the money (very reasonable by US standards and much less than you'd pay for a comparable suite in any other world capital). The restaurants in the hotel are good. The breakfast buffet is a good deal, but gets a bit repetitive, and the bar has amazing views. The Terraza restaurant has great views, but is only okay for it's high prices. The only criticism I have is that the center of life in Mexico City has moved away from the Zocalo, so we had to get creative in our search for restaurants after a few days. But the Madero is only a few blocks away and the Zocalo has a subway stop. Overall, I highly recommend the Gran Hotel!","John, Michigan"
581,5 de 5. Excelente,16 de may de 2019,Love the whole experience! Everything was great!,Chee Wai
582,5 de 5. Excelente,14 de may de 2019,"The hotel has a very elegant and rich setting, staff are friendly and helpful and price is reasonable.",Cliente verificado
583,5 de 5. Excelente,14 de may de 2019,チェックイン時から笑顔で丁寧な対応でまずはウェルカムドリンクとしてシャンパンを頂き、部屋もアップグレードして頂きました。ソカロが綺麗に見える102号室で部屋も広々としており、古さを全く感じさせない素敵なお部屋でした。ソカロに面しているものの、騒々しさはなく、ホテル内もとても静かで大人のホテルという印象を持ちました。 ロビーも美しく、天井のステンドグラスは優雅さも醸し出して、素敵な空間となっています。ドアにはベルボーイも待機しており、宿泊客以外は入りにくい雰囲気となっているので、落ち着いていて良かったです。周辺はお店もレストランもコンビニもあり、とても快適ですし、観光にもとても便利です。徒歩圏内沢山の見どころがあり、街歩きの楽しいホテルでした。またメキシコシティーを訪れる際は、必ずホテルに泊まろうと思いました。,Cliente verificado
584,5 de 5. Excelente,12 de may de 2019,It’s beautiful However I think that a chair lift would help with help people with disabilities get up the stairs,Cliente verificado
585,5 de 5. Excelente,12 de may de 2019,"Just spent a week at the Gran Hotel in a room facing the Zocalo, and thought it was fantastic. There are the obvious benefits of an A+ location and beautiful historic building. When you first arrive, the bellman will take you up in one of the vintage elevators and tell you about the hotel's history. (There's a set of modern elevators for regular use.) I was especially impressed with the welcoming and helpful staff. As someone who doesn't speak Spanish, I was grateful for a front desk staff who were fluent in English. My room was large and comfortable, and had blackout curtains that kept most light out. A nice touch was plenty of free bottled water and apples on the table right outside my door. A few notes: -There's a flight of stairs up from the street to the lobby. A doorman helps with bags. -The windows are double-pane and effective, but don't block all noise. And there's always something happening in the square. Protests, marches, performances, etc. Also, the twice-daily ceremony of soldiers marching out with music to raise the flag at 8 and lower it at 6. During the day, buskers perform below the rooms facing the side street. Taking it all in added to my experience. But if you need absolute silence, this isn't it. -The general location isn't ideal for Ubering to other parts of the city. Rides are cheap -- usually $4 to $6 to Polanco or Roma. But getting in and out of the narrow, one-way streets of the Centro can add a fair bit of time to the journey.",Christian
586,5 de 5. Excelente,8 de may de 2019,It was brilliant !! The staff really go out of their way to help u out and this wonderful hotel has an unparalleled old world charm.,karan
587,5 de 5. Excelente,6 de may de 2019,Sin reseña,Cliente verificado
588,5 de 5. Excelente,5 de may de 2019,Where should i start. The hotel's history alone holds its own weight. First elevator ever installed in Mexico! The panoramic glass cathedral ceiling which easily resembles anything in Europe is a masterpiece. I'm a New Yorker who recently moved to Socal. I've also lived in Europe on & off. This hotel can rival any place I've been to. Most importantly the staff. I had issues that they did not hesitate to fix at all. No questions asked. Highly recommended to any American or European tourists looking for a great hotel. PS The Terrace restaurant has the best views i. Tje city,Cliente verificado
589,5 de 5. Excelente,5 de may de 2019,"The hotel is unique and Beautiful. The stuff is amazing! Gabriela, Cynthia, Jose Luis, Enrique, Victor and all the stuff made our vacation unforgettable one! The room was amazing, the meals on the terrace are very good. If you are sensitive to noise, it’s not the best place for you, since the Gran Hotel is located on the Zocalo Central, and all day you here the street, music, drums etc. But for us it was great.",Cliente verificado
590,5 de 5. Excelente,23 de abr de 2019,Excellent service by all staff. Not crazy about the buffet only options at the restaurants. Would like to have the option of not having much to eat and still enjoy the views.,Carlos
591,5 de 5. Excelente,20 de abr de 2019,"The Tiffany ceiling, the quaint uniforms of the staff and the courtesy of the Doorman named Salvatore.",Cliente verificado
592,5 de 5. Excelente,20 de abr de 2019,Staying at the Gran Hotel was a wonderful experience. The hotel itself is gorgeous with that incredible stained glass ceiling and French ironwork. We were greeted with a glass of champagne and a brief history of the hotel. The service was outstanding and our view of the Zócalo incredible! We will definitely stay here the next time we are in Mexico City!,John
593,5 de 5. Excelente,19 de abr de 2019,Absolutely beautiful unique hotel. Impeccable service. Terrific view of zocalo,Cliente verificado
594,5 de 5. Excelente,19 de abr de 2019,Sin reseña,Cliente verificado
595,5 de 5. Excelente,19 de abr de 2019,"Mir hat besonders gut die Terrasse gefallen, auf der am Wochenende Brunch serviert wurde, man aber auch abends für ein paar Drinks oder zum Essen hingehen konnte. Das Hotel liegt super und das Personal ist sehr bemüht und bietet einen guten Service.",Cliente verificado
596,5 de 5. Excelente,19 de abr de 2019,"Perfectly wonderful hotel situated in an ideal CDMX location. Excellent service, sunny clean and very comfortable room. Very nice roof top restaurant and bar with an impressive view of 500 years of Mexican history at our feet. Unless we have a good reason this will be our CDMX hotel of choice going forward.",Susan
597,5 de 5. Excelente,19 de abr de 2019,Sin reseña,Cliente verificado
598,5 de 5. Excelente,18 de abr de 2019,Sin reseña,Cliente verificado
599,5 de 5. Excelente,16 de abr de 2019,Sin reseña,Cliente verificado
600,5 de 5. Excelente,16 de abr de 2019,Sin reseña,Arlene
601,5 de 5. Excelente,15 de abr de 2019,Sin reseña,Cliente verificado
602,5 de 5. Excelente,15 de abr de 2019,"great service, great location, great value",Josh
603,5 de 5. Excelente,14 de abr de 2019,Sin reseña,Michael
604,5 de 5. Excelente,13 de abr de 2019,"Great building and location. Lots history. Room are super spacious, but facility seems a bit old although still usable. Highly recommend for city tour lover.",Cliente verificado
605,5 de 5. Excelente,13 de abr de 2019,Friendly and ever pleasing staff. Location. Magnificent rooms.,Cliente verificado
606,5 de 5. Excelente,12 de abr de 2019,"Fabulous location on the main square (Zocalo). Interesting to watch all the happenings from the amazing view from our window: ceremonial flag raisings, daily protests, etc. Street life",Cliente verificado
607,5 de 5. Excelente,11 de abr de 2019,"The property is located in the heart of Old Mexico city. It is very close to all the major tourist sites. Rooms were large, quiet and beautiful. The only problem was the shower which it did not drain easily. The staff are incredibly friendly and eager to help.",Cliente verificado
608,4 de 5. Bueno,10 de abr de 2019,"Outstanding location, beautiful inside. Room was pretty, but small. Very helpful staff, for the most part. Had an unpleasant experience with a waiter in the hotel restaurant, but otherwise an excellent stay.",Cliente verificado
609,5 de 5. Excelente,9 de abr de 2019,"We had a great stay at this hotel. All the staff were fantastic, great service. The interior of the hotel is incredible and the location of the hotel is great. We would definitely stay here again in the future.",Cliente verificado
610,4 de 5. Bueno,9 de abr de 2019,Sin reseña,Cliente verificado
611,5 de 5. Excelente,8 de abr de 2019,We enjoyed our stay very much and plan on booking this hotel again.,James
612,5 de 5. Excelente,5 de abr de 2019,"Great place, super comfortable and nice, great location",Maria
613,5 de 5. Excelente,4 de abr de 2019,Sin reseña,Patrick
614,5 de 5. Excelente,3 de abr de 2019,Majestic building in the heart of the Zocalo. Walking distance to the walking street. Great rooms and amazingly friendly and accomodating staff.,Cliente verificado
615,5 de 5. Excelente,1 de abr de 2019,Sin reseña,Cliente verificado
616,5 de 5. Excelente,31 de mar de 2019,"This was our first visit to Mexico City and we had a fascinating time. The hotel is beautiful and in a wonderful location. Close to several historical sites, great restaurants, including bakery and street food. There is money changers, pharmacy and stores nearby. Despite being in the center of everything, the hotel is quiet for sleeping. Transportation is easy by Uber and taxis.","Lisa, Oregon, US"
617,5 de 5. Excelente,30 de mar de 2019,Sin reseña,Cliente verificado
618,5 de 5. Excelente,30 de mar de 2019,"Wow. What an experience ! From the first greeting at the door. We were escorted to the front desk while getting a quick history description of the property. Reception gteeted us with two glasses of champagne and was even able to accomodate us a bit early. Every staff memeber i encountered was professional in their own way. Rich and history and truly beautiful architecture. i won't reveal too much , as you need to see for yourself. Our room faced the street with a tiny balcony. Able to watch Zocalo street life. Room was just spacious enough , comfortable and very very quiet .Ordered room service for breakfast - impeccable ! We have stayed at many Zocalo Historic Center properties , however this one has earned my only true 5 star rating.. Well done !!!",Cliente verificado
619,5 de 5. Excelente,29 de mar de 2019,Location was excellent! Right in the centre of the Historic Mexico City. Fantastic!,Carol
620,5 de 5. Excelente,26 de mar de 2019,It is a fa bulous old building steeped with history. The staff are very proud of their work there and are extremely courteous to guests. We also received VIP treatment and appreciated it very much. As well the location is central and made sightseeing very easy.,Cliente verificado
621,5 de 5. Excelente,25 de mar de 2019,"The hotel has so much history and it was really nice that all staff was able to share facts and information about it, they share their pride working in such beautiful place. Place is old but is kept in excellent condition. The hotel is right next to el Zocalo which is another landmark with so much history. The only recommendation is to improve sound proof walls and windows, being right next to such a busy area you can hear a lot noise and could be bothersome when you are sleeping.",Cliente verificado
622,5 de 5. Excelente,25 de mar de 2019,Sin reseña,Remigio
623,5 de 5. Excelente,23 de mar de 2019,Sin reseña,Cliente verificado
624,5 de 5. Excelente,22 de mar de 2019,The review of all the conveniences in the room from the desk personnel.,Cliente verificado
625,4 de 5. Bueno,22 de mar de 2019,Sin reseña,Cliente verificado
626,5 de 5. Excelente,21 de mar de 2019,"Ein tolles Hotel mit einzigartigem Charm. Das Hotel befindet sich mitten in der Altstadt von Mexiko City. Die Dachkuppel ist ein traumhaftes Mosaik. . Die Zimmer sind groß und haben alles was man sich von einem City Hotel wünscht. Am Empfang waren Cynthia, Jorge und Jose Luis sehr hilfsbereit und freundlich. Ich komme sehr gerne wieder in das Hotel. Zu empfehlen ist die Dachterrasse. Am Wochenende gibt es dort Frühstück an den Abenden ein tolles Essen mit Blick auf den Platz.",Armin
627,5 de 5. Excelente,17 de mar de 2019,gorgeous hotel great staff,Jeffrey
628,5 de 5. Excelente,13 de mar de 2019,"Beautiful architecture, very nice rooms and very helpful and polite staff. Only problem was the political speech starting at 5am in the zocalo, lasting for nearly 2 hours. I know this is beyond the control of the hotel, but this sort of behavior from politicians at that hour of the day is a disgrace, and if this continues, then this hotel and others will suffer loss of business. Blackout curtains are not very effective.",Cliente verificado
629,5 de 5. Excelente,11 de mar de 2019,Sin reseña,Cliente verificado
630,5 de 5. Excelente,26 de mar de 2019,It is a fa bulous old building steeped with history. The staff are very proud of their work there and are extremely courteous to guests. We also received VIP treatment and appreciated it very much. As well the location is central and made sightseeing very easy.,Cliente verificado
631,5 de 5. Excelente,25 de mar de 2019,"The hotel has so much history and it was really nice that all staff was able to share facts and information about it, they share their pride working in such beautiful place. Place is old but is kept in excellent condition. The hotel is right next to el Zocalo which is another landmark with so much history. The only recommendation is to improve sound proof walls and windows, being right next to such a busy area you can hear a lot noise and could be bothersome when you are sleeping.",Cliente verificado
632,5 de 5. Excelente,25 de mar de 2019,Sin reseña,Remigio
633,5 de 5. Excelente,23 de mar de 2019,Sin reseña,Cliente verificado
634,5 de 5. Excelente,22 de mar de 2019,The review of all the conveniences in the room from the desk personnel.,Cliente verificado
635,4 de 5. Bueno,22 de mar de 2019,Sin reseña,Cliente verificado
636,5 de 5. Excelente,21 de mar de 2019,"Ein tolles Hotel mit einzigartigem Charm. Das Hotel befindet sich mitten in der Altstadt von Mexiko City. Die Dachkuppel ist ein traumhaftes Mosaik. . Die Zimmer sind groß und haben alles was man sich von einem City Hotel wünscht. Am Empfang waren Cynthia, Jorge und Jose Luis sehr hilfsbereit und freundlich. Ich komme sehr gerne wieder in das Hotel. Zu empfehlen ist die Dachterrasse. Am Wochenende gibt es dort Frühstück an den Abenden ein tolles Essen mit Blick auf den Platz.",Armin
637,5 de 5. Excelente,17 de mar de 2019,gorgeous hotel great staff,Jeffrey
638,5 de 5. Excelente,13 de mar de 2019,"Beautiful architecture, very nice rooms and very helpful and polite staff. Only problem was the political speech starting at 5am in the zocalo, lasting for nearly 2 hours. I know this is beyond the control of the hotel, but this sort of behavior from politicians at that hour of the day is a disgrace, and if this continues, then this hotel and others will suffer loss of business. Blackout curtains are not very effective.",Cliente verificado
639,5 de 5. Excelente,11 de mar de 2019,Sin reseña,Cliente verificado
640,5 de 5. Excelente,2 de mar de 2019,This hotel was very unique because first the restaurant upstairs with the view of mexico city was beautiful and the food was breath taking. One other thing that caught my eye was the vintage theme,Cliente verificado
641,4 de 5. Bueno,1 de mar de 2019,Beautiful lobby. Excellent concierge service. Doorman always smiling.,Cliente verificado
642,5 de 5. Excelente,27 de feb de 2019,Historic building in excellent location. Unbelievably quiet considering the location!,Cliente verificado
643,5 de 5. Excelente,27 de feb de 2019,"Great hotel, great service. For anyone who needs it, there is parking attached to the hotel (but not officially associated with the hotel). We were upgraded for free since we booked on hotels.com. We would definitely stay there again.",Hayley
644,4 de 5. Bueno,26 de feb de 2019,"We are both allergic to carpets and any mold or mildew in the environment. Consequently we experienced challenges sleeping in the rooms. We found everyone very component, friendly and helpful. The rooms were clean, pleasant and the service was excellent at every level. Unfortunately, for us, staying in a ""historical"" building came with environmental risks.",Cliente verificado
645,5 de 5. Excelente,26 de feb de 2019,Wonderful one-night stay right off the Zocalo. We would go back!,Cliente verificado
646,5 de 5. Excelente,26 de feb de 2019,"Hotel meraviglioso: personale gentilissimi, camera dotata do ogni conforto e estremamente pulita. Suite Master vista Zocalo. Hotel belíssimo! Rapporto excelente prezzo/qualità. È la mia seconda volta in questo grande hotel e ci tornerei altre volte.",tradicional
647,4 de 5. Bueno,24 de feb de 2019,The staff were stupendous. They helped us get tickets to events and directions. All around great. The lobby is amazing all stained glass and 4 stories high,Cliente verificado
648,4 de 5. Bueno,22 de feb de 2019,シャワーの使い方が分かりづらかった。,Cliente verificado
649,5 de 5. Excelente,22 de feb de 2019,The hotel maintainscits sense of old world charm while still maintaining modefn conveniences. Staff were very friendly and helpful.,Cliente verificado
650,3 de 5. Aceptable,21 de feb de 2019,Beautiful ceiling. Old world charm. However there is also a musty smell and street noise can be quite bothersome.,Cliente verificado
651,5 de 5. Excelente,19 de feb de 2019,"The hotel is in a very good location. It’s across from the Zocalo and the National Palace. It’s very close to many sights to see in Mexico City. The location was amazing. The rooms were spacious the beds and pillows were very comfortable. The hotel also has an ATM inside. The staff was exceptional. The hotel has a restaurant on the rooftop overlooking the Zocalo was exceptional. Also you can utilize a company the hotel uses for any driving needs such as pickup and drop off at the airport, going to sites. Drivers were very nice and the cost is reasonable. The value of your money and what you pay for is worth the visit and stay at Gran Ciudad Mexico.",Cliente verificado
652,5 de 5. Excelente,19 de feb de 2019,"Great location for a wonderful city to visit. The hotel has friendly staff, comfortable rooms but is probably a 4 star hotel--that's not a criticism but its not a Four Seasons or something of that level. But the atrium is spectacular and we have stayed here twice and will do again.",william
653,5 de 5. Excelente,19 de feb de 2019,"Amazing location, beautiful rooms and great service.","Mina, New York, USA"
654,5 de 5. Excelente,19 de feb de 2019,"What a fine place to stay! The hotel is beautiful and the location is excellent. There was hardly any noise from the street (a mid-February visit) and the Zocalo is amazing. The staff was excellent--here is a shout-out to Manuel, Jaime, Victor, Javier, and Enrique for making us feel at home in their country.",Cliente verificado
655,5 de 5. Excelente,19 de feb de 2019,Sin reseña,Cliente verificado
656,4 de 5. Bueno,15 de feb de 2019,This is a very centrally located beautiful hotel in the heart of the historic city. You can watch the flag ceremony daily from the terrace bar / restaurant. We had room with a small terrace out to the pedestrian street and there were opera singers and music daily. The staff is lovely - very helpful and courteous (we had to call them multiple times to open our in-room safe) Water pressure is very good. I would bring your own shampoo. Breakfast buffet has a good variety and is a good value.,Cliente verificado
657,5 de 5. Excelente,12 de feb de 2019,Excellent propert. The Terrazas restaurant was fantastic with a fantastic view. Every staff member was friendly and proactively helpful.,Ed
658,4 de 5. Bueno,9 de feb de 2019,Location is perfect for a tourist. Beautiful interior. Staff speaks good English and are very responsive. Rooftop bar view is exquisite. AC in our room was slow to cool. Towels are old and need to be replaced.,Cliente verificado
659,5 de 5. Excelente,8 de feb de 2019,"A truly beautiful hotel in a superb location. We loved our stay here. From the moment we arrived and received a glass of champagne at reception to the moment we left, everyone was fantastic. All staff made us feel welcome and were very helpful. We loved our room upgrade and 25% discount in the restaurant. Being on the Zocolo The hotel is perfectly located to see many of the wonderful attractions in Mexico City on foot. Thank you to everyone at the hotel for making our stay so memorable.","Kevan, North Wales"
660,4 de 5. Bueno,7 de feb de 2019,Sin reseña,Cliente verificado
661,5 de 5. Excelente,7 de feb de 2019,"Most beautiful hotel. Friendly helpful staff, very accommodating with extra touches such as fruit, water, tea and coffee 24/7. Very clesn comfortable rooms, large, spacious beautiful. Cant say enough about how wonderful it was",Roozan
662,5 de 5. Excelente,6 de feb de 2019,HIstoric hotel right in the main square loved everything about the stay except our AC did not work so we had to sleep with the windows open,Cliente verificado
663,4 de 5. Bueno,2 de feb de 2019,Sin reseña,Paul
664,5 de 5. Excelente,2 de feb de 2019,"Location, Beauty & Safety. This hotel is located in the best spot for tourists. Beautifully decorated 1895 building is near tourists spots and many fine restaurants. The best part is the area within 5 blocks is covered with police 24 hours. I Highly recommend this hotel.",Cliente verificado
665,5 de 5. Excelente,31 de ene de 2019,Sin reseña,Cliente verificado
666,5 de 5. Excelente,30 de ene de 2019,Walking into the hotel was like stepping back in time. From the stained glass ceiling to the steel elavators everything was first class.,Cliente verificado
667,5 de 5. Excelente,29 de ene de 2019,"This is a truly breathtaking hotel (so much so that tourists line up to take pictures in the lobby, which features a full ceiling of Tiffany glass). The hotel is an imamculate time capsule and honestly, the publicity photos don't do it justice. Not only is the hotel lobby stunning, but our room was wonderful as well. Staff was incredibly helpful and prompt, always quick to open doors, carry luggage, send up room service, and even open the safe when we misread the directions. Truly an exceptional stay, and you can't beat the location. Despite being in the center of the historical district, it was also easy to close off our room (thanks to a full wall automatic blackout blind) when we needed a little break from it all. I will certainly stay here again.",Cliente verificado
668,5 de 5. Excelente,27 de ene de 2019,Sin reseña,Cliente verificado
669,5 de 5. Excelente,25 de ene de 2019,Beautiful historic hotel with impeccable service,Michael
670,4 de 5. Bueno,7 de feb de 2019,Sin reseña,Cliente verificado
671,5 de 5. Excelente,7 de feb de 2019,"Most beautiful hotel. Friendly helpful staff, very accommodating with extra touches such as fruit, water, tea and coffee 24/7. Very clesn comfortable rooms, large, spacious beautiful. Cant say enough about how wonderful it was",Roozan
672,5 de 5. Excelente,6 de feb de 2019,HIstoric hotel right in the main square loved everything about the stay except our AC did not work so we had to sleep with the windows open,Cliente verificado
673,4 de 5. Bueno,2 de feb de 2019,Sin reseña,Paul
674,5 de 5. Excelente,2 de feb de 2019,"Location, Beauty & Safety. This hotel is located in the best spot for tourists. Beautifully decorated 1895 building is near tourists spots and many fine restaurants. The best part is the area within 5 blocks is covered with police 24 hours. I Highly recommend this hotel.",Cliente verificado
675,5 de 5. Excelente,31 de ene de 2019,Sin reseña,Cliente verificado
676,5 de 5. Excelente,30 de ene de 2019,Walking into the hotel was like stepping back in time. From the stained glass ceiling to the steel elavators everything was first class.,Cliente verificado
677,5 de 5. Excelente,29 de ene de 2019,"This is a truly breathtaking hotel (so much so that tourists line up to take pictures in the lobby, which features a full ceiling of Tiffany glass). The hotel is an imamculate time capsule and honestly, the publicity photos don't do it justice. Not only is the hotel lobby stunning, but our room was wonderful as well. Staff was incredibly helpful and prompt, always quick to open doors, carry luggage, send up room service, and even open the safe when we misread the directions. Truly an exceptional stay, and you can't beat the location. Despite being in the center of the historical district, it was also easy to close off our room (thanks to a full wall automatic blackout blind) when we needed a little break from it all. I will certainly stay here again.",Cliente verificado
678,5 de 5. Excelente,27 de ene de 2019,Sin reseña,Cliente verificado
679,5 de 5. Excelente,25 de ene de 2019,Beautiful historic hotel with impeccable service,Michael
680,5 de 5. Excelente,7 de ene de 2019,Sin reseña,Cliente verificado
681,4 de 5. Bueno,3 de ene de 2019,Sin reseña,Cliente verificado
682,5 de 5. Excelente,3 de ene de 2019,"We had a wonderful stay at this hotel. The hotel is located in a great location. The hotel itself is absolutely beautiful, with a great rooftop restaurant that provides an amazing view of the Zócalo. The hotel staff were very friendly and helpful.",Cliente verificado
683,5 de 5. Excelente,3 de ene de 2019,Beautiful place and very helpful staff they cover all you need and is an historic place that I recommend to everybody visit Mexico City,Cliente verificado
684,5 de 5. Excelente,2 de ene de 2019,Sin reseña,Guo
685,5 de 5. Excelente,2 de ene de 2019,"Great hotel with a ton of history, great staff and awesome location! The room service is great although the menu could be expanded a bit. Overall a fine experience.",Cliente verificado
686,4 de 5. Bueno,1 de ene de 2019,"Absolutely beautiful. Access can be a little bit of a pain in certain seasons, but it is certainly a great place to stay",Cliente verificado
687,4 de 5. Bueno,31 de dic de 2018,Absolutely beautiful property. Very friendly staff. Access is a little complicated at certain hours,Jose
688,5 de 5. Excelente,30 de dic de 2018,"Beautiful hotel and the staff very courteous, helpful throughout the hotel",Cliente verificado
689,5 de 5. Excelente,29 de dic de 2018,The hotel is so spacious and has lovely architectural details. It is a lovely example of a bygone era of graciousness.,Cliente verificado
690,5 de 5. Excelente,26 de dic de 2018,"I would say the hotel has a lot of History,easy access to stores,restaurants,shops. I would definitely come back.",Cliente verificado
691,5 de 5. Excelente,26 de dic de 2018,The hotel is beautiful. However right outside the hotel someone tried to steal my pocketbook and threw olive oil all over me and my husband. It was very threatening to us being Americans.,Cliente verificado
692,5 de 5. Excelente,23 de dic de 2018,Jag älskar grand hotel Mexico city. Personalen är super trevligt och rummet är confortabel. Super bra hotel !,Aaron
693,5 de 5. Excelente,22 de dic de 2018,Everything and everyone of the employees was perfect as usual. it is a pleasure to visit this place while in Mexico.,Cliente verificado
694,5 de 5. Excelente,20 de dic de 2018,Hotel staff it was excellent and very polite and professional,Cliente verificado
695,5 de 5. Excelente,15 de dic de 2018,Sin reseña,Cliente verificado
696,5 de 5. Excelente,15 de dic de 2018,Excellent hotel! Incredible ceiling! Amazing location.,Cliente verificado
697,5 de 5. Excelente,14 de dic de 2018,"bellissimo hotel storico, ottimo la posizione centrale, proprio dentro lo zocalo, uniche pecche, troppo rumoroso e colazione migliorabile. Ottimo il servizio, persone molto ma veramente molto gentili.",Vito
698,5 de 5. Excelente,13 de dic de 2018,Everything was beautiful and the staff was amazing,Cliente verificado
699,5 de 5. Excelente,11 de dic de 2018,"Great location, lovely staff and a beautiful building",Cliente verificado
700,5 de 5. Excelente,26 de dic de 2018,"I would say the hotel has a lot of History,easy access to stores,restaurants,shops. I would definitely come back.",Cliente verificado
701,5 de 5. Excelente,26 de dic de 2018,The hotel is beautiful. However right outside the hotel someone tried to steal my pocketbook and threw olive oil all over me and my husband. It was very threatening to us being Americans.,Cliente verificado
702,5 de 5. Excelente,23 de dic de 2018,Jag älskar grand hotel Mexico city. Personalen är super trevligt och rummet är confortabel. Super bra hotel !,Aaron
703,5 de 5. Excelente,22 de dic de 2018,Everything and everyone of the employees was perfect as usual. it is a pleasure to visit this place while in Mexico.,Cliente verificado
704,5 de 5. Excelente,20 de dic de 2018,Hotel staff it was excellent and very polite and professional,Cliente verificado
705,5 de 5. Excelente,15 de dic de 2018,Sin reseña,Cliente verificado
706,5 de 5. Excelente,15 de dic de 2018,Excellent hotel! Incredible ceiling! Amazing location.,Cliente verificado
707,5 de 5. Excelente,14 de dic de 2018,"bellissimo hotel storico, ottimo la posizione centrale, proprio dentro lo zocalo, uniche pecche, troppo rumoroso e colazione migliorabile. Ottimo il servizio, persone molto ma veramente molto gentili.",Vito
708,5 de 5. Excelente,13 de dic de 2018,Everything was beautiful and the staff was amazing,Cliente verificado
709,5 de 5. Excelente,11 de dic de 2018,"Great location, lovely staff and a beautiful building",Cliente verificado
710,4 de 5. Bueno,24 de nov de 2018,"Très bel hôtel de classe réhabilité dans un ancien grand magasin avec beaucoup de goût. Du personnel très attentionné. Hôtel magnifiquement situé à quelques mètres de la place centrale, avec des chambres très spacieuses et très confortables, dignes de la classe de l'hôtel. Petit-déjeuner buffet dans le restaurant du RdC de très bonne qualité. Un petit bémol: le hall d'entrée, très beau avec une magnifique verrière, est plutôt froid en raison de l'ouverture quasi permanente de la porte d'entrée qui donne sur la rue et provoque des courants d'air. Mais rien à redire sur le reste.",Cliente verificado
711,5 de 5. Excelente,17 de nov de 2018,Truly amazing hotel,John
712,5 de 5. Excelente,16 de nov de 2018,"Beautiful Hotel the center of everything very clean, staff helpful and caring.. Restaurant and Bar.. Security on premises 24 hours/. Wonderful and friendly staff.","Luz, Fresno, ca"
713,5 de 5. Excelente,13 de nov de 2018,"It was a great stay at Gran Hotel Cuidad De Mexico. Everything is close by you have restaurants, shopping stores, and historic sites.","Edgar, California"
714,5 de 5. Excelente,12 de nov de 2018,Sin reseña,Gary
