,Descripción,Año,Mes,retroalimentacion
653,We stayed here for nights last summer and just made reservations for another stay this year The location is amazing and the view of the Zocolo and its constant activity was incredible We had read review about the noise so we…,2008,4,0
654,fantástica ubicación maravilloso restaurante estilo patrimonial cerca animada plaza central Original fantastic location with wonderful restaurant heritage style with close proximity to lively central plaza,2019,4,1
655,Viejo mal inodoro funcionaba toallas manchadas cama horrible Olor humedad Podría ser gran si ponen montón dinero edificio hermosa estructura…,2018,4,0
656,Very average room was very basic Location good Restaurant was average Food basic Presence on street non existent,2018,4,0
657,Cometí error usar lugar larga escala llegada tarde noche pudo reservar través sitio web terceros debido hora madrugada así puse trabajar…,2018,4,0
658,ubicación increíble justo centro distrito histórico personal cortés embargo experiencia vio afectada construcción llevó cabo am pm La…,2017,4,0
659,habitación servicio servicio restaurante fantástico Realmente disfrute duda volveré Original The room service and also the restaurant service was fantastic I really enjoyed it I will definitely be going back,2018,4,1
660,único bueno centro ciudad habitaciones normales demasiado caras Original The only good thing its youre in the center of the city too expensive normal rooms,2020,4,0
661,estilo colonial Funcional excelente ubicación Dependiendo habitación puede tener vista impresionante Debido ubicación privilegiada puede ser ruidoso noche…,2018,4,1
662,The Majestic aint bad but not worth the money The first room they put us in was in the back tiny rundown and REALLY not worth the money I complained and we were moved into much nicer room up front But the Catedral just a…,2011,4,0
663,Hermoso histórico centro ambiente increíble cucarachas habitación Original Krásný historický v centru úžasná atmosféra ale na pokoji jsme měli šváby,2019,4,0
664,Dunkles Zimmer ohne Aussicht Muffig Lichtblick ist der alte Jh Stil und die schöne Terasse zb zum Frühstück Aber am Nachmittag als wir nochmal einen schnelle Kaffee trinken wollten vor der Abreise wurden wir von Personal schon wieder…,2015,4,0
665,Excelente servicio Excelente personal excelente ubicación Limpio fantástico edificio histórico cama dura Ligera fuga fontanería baño quedará nuevo Original Excellent service…,2016,4,1
666,Limpio cómodo seguro Excelente personal atento atento excelente restaurante azotea vista única Zócalo Obtén habitación vista Zócalo Palacio Nacional Catedral Nacional A…,2019,4,1
667,Excelente posición todavía conductor ascensor excelentes vistas desayuno excelente ubicación Original Great position still an elevator driver great views at breakfast and great location,2019,4,0
668,encanta restaurante vista Zocalon Ciudad México mejor Original Love the restaurang with the view över Zocalon Mexico City when its best,2019,4,1
669,personal amable Si gusta tranquilidad pide habitación interior dé Zocalo avenida principal Original Very friendly staff If you like quiet though ask for an interior room not facing Zocalo or main avenue,2019,4,1
670,Pregunté recepción dónde conseguir taxi ofreció llamar dijo misma tarifa calle VERDAD triple precio ¡¡¡¡Ética Original Asked front desk where…,2020,4,0
671,Excelente ubicación vista increíble estilo clásico lujo experiencia vale pena Original Great location amazing view classic style not luxury but the experience worth it,2018,4,1
672,recomiendo si alojas México ciudad gerente Ayala grosero habilidad servicio cliente Original I dont suggest this if you do stay in Mexico city the manager Ayala is rude and skill of customer service,2020,4,0
673,We stayed here for nights is on Zocolo Square very noisy We couldnt leave windows open at night due to the noise and there is air conditioning We awoke the first morning covered in bed bug bites Staff in the bar was…,2008,4,0
674,The location is great staff was just ok,2019,4,0
675,Lindo Ubicado zocalo edificio años habitaciones bonitas desayuno azotea bueno Original Nice Located at the Zocalo The buildig is about years old The rooms are nice Breakfast on the rooftop is amauong,2019,4,1
676,lugar favorito hospedarme Zocalo Capitolino Original My favorite place to stay at Zocalo Capitolino,2019,4,1
677,old great location even some rooms where updated still feels old nice man operated elevator nice roof restaurant,2018,4,0
678,Buena vista sistema aire acondicionado servicio cliente bien Original Good view but AC system 👎🏼 Customer service was okay,2018,4,0
679,as far as locationthis cant be beat if you stay on room facing the zocalowhich they cant guarantee you will receive til you get thereyou get the best view of the zocalo directly across the national palace and across the way…,2009,4,0
680,The have excellent service I am very satisfied with my stay I definitely recommend this,2017,4,1
681,Gamble Raki ajustes encuentran centro Tener cuenta transporte bolsas Original فندق جمبل وراقي يقع الضبط في المركز الاخذ بالحسبان نقل الشنط,2018,4,1
682,detalles cuidadosos mejor fotos sabor vista restaurante increíble Original Everithing details are si much carefull the best is the fotos the flavor the view from the restaurant its amazing,2018,4,1
683,Wir waren sehr mit dem zufrieden was wir für unser Geld bekommen haben Sauberes in sehr schönem alten Gebäuden Die Angestellten sprechen sogar teilweise Englisch nicht üblich für MexikoStadt und Umgebung,2012,4,1
684,Hotellet var charmigt men ganska slitet Här bor man för att läget är så bra,2016,4,0
685,Gran servicio precioso deliciosa comida Ohhh vista increíble Original Great service gorgeous and delicious food Ohhh the view is amazing,2017,4,1
686,ubicación excelente lado Zócalo habitaciones limpias sencillas servicio regular Original The location its excellent its next to the Zócalo The rooms are clean but simple The service its regular,2017,4,0
687,Absolutamente genial Gran ubicación Gran ambiente Original Absolut spitze Superlage Tolles Ambiente,2018,4,1
688,Der ConciergeBell Boy Service war außerordentlich freundlich und sehr hilfreichDas Frühstück war nicht mehr als durchschnittlichDie Zimmer könnten in einem besseren Zustand seinDie Lage des Hotels entschädigt für einige der Defizite,2011,4,1
689,propiedad hermosa igual vistas habitaciones dan plaza ten cuidado menos disfrutes despierte cuerpo tambores cornetas militares am las…,2019,4,0
690,ubicación inmejorable centro ciudad México cerca Plaza Constitución poca distancia pie muchas atracciones importantes además cuenta maravillosa terraza se…,2017,4,1
691,Super Nice staff super location safe clean historical beautiful Loved it,2018,4,1
692,mejores ubicaciones hospedarse ciudad México Realty Good servicio excepcional Original One of the best locations to stay in mexico city realty good and the service exceptional,2019,4,1
693,Bonito antiguo zócalo Según norma Original schönes altes am zocalo dem standard entsprechend,2019,4,1
694,Genial Fantástica arquitectura ubicación increíble Original Excelente Fantástica arquitetura localização incrível,2019,4,1
695,encanta Original Love it,2019,4,1
696,Der Standort des Hotels ist optimal Direkt am Zocalo Ein sehr schönes altes kolonialistisch gebautes Leider sind die Zimmer stark renovierungsbedürftig,2013,4,1
697,mejor ubicados ciudad México corazón corazón ciudad Ofrece puede esperar cadena hotelera habitaciones limpias agradables confortables Original One of…,2017,4,1
698,propiedad ideal experimentar sabor antigua Ciudad México propiedad histórica ahora cumple años ubicación puede ser mejorada visita primera vez ciudad…,2018,4,1
699,realmente agradable ubicado justo centro histórico si auto encontrarás estacionamiento cerca Original It was really nice located right in the historic downtown but if you got car you wont find parking lot close to it,2017,4,1
700,encantó lugar Original I loved everything about this place,2020,4,0
701,C gran vista Zócalo metro accesible Original AC great view of the Zocalo and accessible metro,2018,4,1
702,Excelente ubicación habitaciones renovadas embargo serio problema cucarachas limpieza general lugar Aunque nunca usé máquina café llena agua Si listo ver…,2019,4,0
703,Buen lugar comida mala cara servicio bueno Original Nice place the food is bad and expensive the service is very good,2019,4,1
704,estancia buena Original The Stay was very Good😍😍,2017,4,1
705,Excelentes servicios lugar histórico cerca Original Excelent services and place historic place and close to the everything,2019,4,1
706,gusta general justo plaza zócalo solo minutos caminando hacia palacio Vella numerosos lugares comer templo mayor catedral iglesias pequeñas…,2017,4,1
707,Buena comida precios malos vista terraza única Original Good food and prices not too bad but the terrace view is one of kind,2017,4,1
708,Excelente ubicación buenos huesos necesita renovación importante Mala presión agua camas duras servicio escritorio relajado Original Great location and good bones but needs major renovation Poor water pressure hard beds and lax desk service,2017,4,0
709,restaurante parte superior apuesta segura experimentar excelente comida mexicana Original The restaurant in the top of the is safe bet to experience great Mexican food,2017,4,1
710,Hen primera vez primer día correo electrónico solo querían quedaran unas horas poder ser buen día momento Original Hen and I am not the first time to the first day of this email and just wanted few hours to be able at your time to be good day,2015,4,1
711,Encantador vieja escuela excelente ubicación Original Lovely oldschool in great location,2019,4,1
712,Justo lugar correcto restaurante azotea Original Just the right place and with rooftop restaurant,2014,4,1
713,¡Encantador Encanto viejo mundo camas pequeñas gran servicio justo plaza Original Lovely Old world charmsmall bedsgreat serviceright on the square,2018,4,1
714,Increíble vista servicio Original Amazing view and service,2017,4,1
715,It was nightmare my very first night They are not respectful people For any reason They work on top of my room till midnight And start again at am I was very upset,2018,4,0
716,Super Lage sichere Gegend die kleinen angestellten geben sich Mühe und sind super die höheren naja,2016,4,0
717,Buena ubicación Desayuna restaurante vista zocalo Original Great location Have breakfast at the restaurant with view Zocalo,2017,4,1
718,quedamos contentos personal servicial amable Original We were happy with the and the staff was very helpful and friendly,2018,4,1
719,Buena comida buena vista desayuno buffet camino seguir Original Good food and great view Breakfast buffet is the way to go,2018,4,1
720,bueno limpio justo centro ciudad México frente edificio gobierno Original Sehr gutes und sauberes mitten im Zentrum der Stadt Mexico gegenüber des Regierungsgebäudes,2019,4,1
721,Best Western Majestic Original best western majestic,2019,4,1
722,Contamos habitación balcón vista Catedral Metropolitana quedaremos aquí días ¡para podamos recorrer sitios Ciudad México Antiguo esperado años…,2017,4,1
723,Ubicación estratégica centro ciudad Original Posizione strategica nel centro della città,2019,4,0
724,Sehr hilfsbereites freundliches Personal an der Rezeption Dienstleistungsbewusstsein in Restaurant auf Dachterrasse bescheiden Zimmer sind ringhörig und renovationsbedüftig Lage super,2015,4,1
725,bar vista increíble mucha gente bebidas demasiado caras Original The bar an amazing view not too crowded and drinks arent too expensive,2017,4,1
726,encantó justo quiero vista increíble Original I loved this just where I wanna be with an amazing view,2019,4,1
727,Niza vista central zocalo Original Nice central view over Zocalo,2020,4,0
728,¡Por precio razonable obtienes vista espectacular Zócalo joya escondida Original For reasonable price you get spectacular view of The Zocalo hidden gem,2017,4,1
729,mejor zona histórica zocalo Original Best in Historic area in Zocalo,2019,4,1
730,Excelente Original Ecelente,2020,4,1
731,Razonablemente bañera tapada Original Razoável banheira ficava entupida,2020,4,0
732,Bonito habitaciones antiguas ruidosas Original Nice but very old rooms and noisy,2020,4,0
733,Buen servicio céntrico Original Centralt beliggende god service,2017,4,1
734,Excelente Original Exellent,2020,4,1
735,Eine Besonderheit ist das gute DachRestaurant das einen grossartigen PanoramaBlick auf den Hauptplatz der Stadt gewährt Zu Fuss ist man in kürzester Zeit bei interessanten Punkten,2011,4,0
736,Bien ubicado Original Well located,2020,4,1
737,mejor Original the best,2020,4,1
738,peor restauración Original That was worst restore,2020,4,0
739,Great service beautiful view,2020,4,1
740,Maravillosa ubicación buen Original Wonderful location good,2020,4,1
741,Lindo Original Nice,2019,4,1
742,Siempre gran estancia Original Always great stay,2019,4,1
743,Fechado posición estratégica Original Datato ma in posizione strategica,2019,4,1
744,Gran lugar Original Great place,2019,4,1
745,bien Original Its ok,2019,4,1
746,buen Original Is Good,2019,4,1
747,caliente aire acondicionado fuerte Original Very hot and AC And very loud,2018,4,0
748,Brunch aquí vista zócalo esperes calidad increíble Original having brunch here for the view over zocalo dont expect amazing quality,2015,4,0
749,bien bien Original good good,2018,4,1
750,Mejor lugar Original Best place,2018,4,1
751,Regresaría nuevo calor toallas ayudarían Original I would got back again but more heat and towels would help,2018,4,0
752,Regular Original Regular,2018,4,0
753,OK Original Ok,2018,4,0
754,buen bar Original Its good bar,2018,4,1
755,oh it is the best in Mexico City,2018,4,0
756,ubicación excelente habitaciones aire acondicionado necesitábamos época año noches agradables frescas caja fuerte habitación rota…,2018,4,0
757,hermoso colonial tradicional corazón ciudad México Original beautiful colonial traditional in the heart of Mexico city,2018,4,1
758,Original Io,2017,4,1
759,Vistas ubicación habitación limpia buen tamaño Original Views location clean good sized room,2017,4,1
760,Excelente agradable bonito Original Excellent very nice very nice,2017,4,1
761,súper Original Super,2017,4,1
762,¡Vista asombrosa Original Awesome View,2017,4,1
763,¡¡¡Es genial Original Its great,2017,4,1
764,gusto Original jaiime bien,2017,4,1
765,bar restaurante azotea merece visita Original The rooftop bar resturant is worth visit,2016,4,1
766,Lugar barato unas copas Original Cheap place for few drinks,2017,4,1
767,encanta Original I love it,2017,4,1
768,Bien Original Bien,2017,4,1
769,bebidas deliciosas caras Original The drinks are delicius but some expensive,2017,4,1
770,Gran lugar Original Great place,2017,4,1
771,estupendo Original great,2017,4,1
772,Excelente cena gran vista restaurante Original Excellent dinner and great sight from the restaurant,2017,4,1
773,C Original C,2017,4,1
774,Tan increíble Original So amazing,2017,4,1
775,HERMOSA Original LINDOS,2017,4,1
776,Exquisito Original Exquisite,2015,4,1
777,Ta culey Original Ta culey,2015,4,0
778,Tomé copa restaurante azotea café sabía agua incluso después pedir cambio Original Had drink at the roof top restaurant The coffee tasted like water even after requesting for change,2014,4,0
779,Der Service ist sehr antiquiert obwohl auf der RestaurantTerrasse zum Zocalo kaum Tische besetzt waren mußten wir in der Bar in einer Seitenstraße Platz nehmenDas Personal spricht und versteht teilweise schlecht Englisch,2011,4,1
